Role,Module,Route,API endpoint,Action,Expected access,Navigation visibility,Direct URL access,Backend/API authorization,Ownership restriction,Automated test,Browser result,Live result,Status,Evidence,Blocker
owner,Admin & Reports,/admin,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/admin/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Admin & Reports,/admin/data-quality,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/admin/data-quality/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Admin & Reports,/admin/mapping-config,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/admin/mapping-config/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Admin & Reports,/admin/material-items,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/admin/material-items/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Admin & Reports,/admin/rate-cards,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/admin/rate-cards/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Admin & Reports,/admin/users,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/admin/users/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Admin & Reports,/admin/users/[id],N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/admin/users/[id]/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Admin & Reports,/admin/users/new,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/admin/users/new/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Assets,/assets,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),HIDDEN BY CONTROLLED-ROLLOUT FLAG,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/assets/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Assets,/assets/[assetId],N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),HIDDEN BY CONTROLLED-ROLLOUT FLAG,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/assets/[assetId]/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,BOM Engine,/bom,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/bom/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance & Billing,/claims,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/claims/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance & Billing,/claims/[id],N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/claims/[id]/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance & Billing,/claims/new,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/claims/new/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Cortex,/cortex,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/cortex/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,CRM & Proposal,/crm,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),NO CONFIGURED NAV ITEM,ALLOW BY CATCH-ALL; PAGE GATE VARIES,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,PARTIAL,apps/web/src/app/(dashboard)/crm/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,CRM & Proposal,/crm/accounts,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/crm/accounts/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,CRM & Proposal,/crm/accounts/[id],N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/crm/accounts/[id]/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,CRM & Proposal,/crm/accounts/new,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/crm/accounts/new/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
